angle, reflectivity
5, 2
13, 3
22, 3
32, 3
41, 2
50, 3
58, 2
68, 2
77, 3
86, 2
95, 2
104, 2
113, 2
122, 2
131, 3
141, 3
150, 3
160, 3
168, 2
178, 2
187, 3
196, 3
204, 3
214, 3
223, 1
232, 3
241, 3
250, 3
259, 3
268, 3
277, 3
286, 3
296, 2
305, 2
314, 3
323, 3
333, 2
341, 2
351, 2
360, 2
369, 2
378, 2
386, 2
396, 3
405, 2
414, 3
423, 3
432, 3
442, 3
450, 2
460, 3
469, 3
478, 3
487, 3
496, 3
505, 2
514, 2
523, 3
532, 2
541, 2
550, 3
559, 2
569, 3
578, 3
586, 3
596, 2
604, 2
614, 3
623, 2
632, 2
641, 2
650, 2
660, 2
669, 3
678, 3
687, 2
696, 3
706, 3
714, 2
723, 2
733, 2
742, 3
751, 3
760, 3
769, 2
779, 1
788, 2
797, 2
806, 2
815, 3
824, 3
833, 2
843, 2
852, 2
861, 3
870, 3
879, 3
888, 3
898, 2
906, 2
916, 3
925, 3
934, 3
943, 2
952, 3
961, 2
970, 2
980, 3
989, 2
998, 2
1007, 2
1016, 2
1026, 2
1035, 3
1044, 2
1053, 2
1062, 2
1072, 2
1079, 3
1081, 2
1081, 2
1081, 2
1081, 3
