angle, reflectivity
6, 2
15, 2
25, 2
34, 2
43, 2
52, 2
61, 2
70, 2
79, 1
88, 2
97, 2
106, 2
115, 1
124, 2
133, 2
143, 2
152, 2
161, 2
170, 2
179, 2
188, 2
198, 2
207, 2
216, 2
225, 2
234, 2
243, 2
252, 2
262, 2
270, 3
280, 3
289, 2
298, 2
307, 3
316, 2
326, 2
334, 2
344, 2
353, 2
362, 2
371, 2
380, 2
389, 2
398, 2
408, 2
416, 2
426, 2
435, 2
444, 2
452, 2
462, 2
470, 1
480, 2
489, 2
498, 2
507, 2
516, 2
525, 2
534, 2
543, 1
553, 2
562, 1
571, 2
580, 2
590, 2
598, 2
608, 2
616, 3
626, 2
635, 2
644, 2
653, 3
662, 3
671, 2
680, 2
689, 2
698, 2
707, 2
716, 2
725, 2
734, 2
744, 2
752, 2
762, 2
772, 1
780, 2
790, 2
799, 2
808, 2
816, 2
826, 1
835, 2
844, 2
853, 2
862, 1
871, 2
880, 1
889, 2
898, 2
908, 2
916, 2
926, 2
934, 1
944, 1
953, 1
962, 2
971, 2
980, 3
989, 3
998, 3
1008, 2
1017, 2
1026, 2
1035, 3
1044, 2
1054, 2
1062, 2
1072, 1
1080, 2
1090, 2
1098, 2
1108, 2
1116, 2
1126, 2
1135, 2
1144, 1
1152, 2
1162, 2
1172, 1
1181, 1
1190, 2
1198, 2
1208, 1
1217, 2
1226, 2
1235, 2
1244, 2
1253, 2
1262, 2
1271, 2
1280, 2
1289, 1
1298, 1
1308, 2
1316, 2
1326, 2
1335, 2
1344, 2
1353, 3
1362, 3
1371, 2
1380, 2
1389, 2
1398, 2
1408, 2
1416, 2
1426, 2
1434, 2
1444, 2
1453, 2
1462, 2
1470, 1
1480, 2
1489, 2
1498, 2
1507, 2
1516, 2
1525, 2
1534, 2
1543, 2
1552, 1
1561, 2
1571, 2
1580, 1
1589, 2
1598, 2
1607, 2
1616, 2
1625, 1
1634, 2
1643, 2
1652, 2
1661, 2
1670, 1
1679, 2
1688, 2
1698, 2
1706, 2
1716, 3
1725, 3
1734, 3
1742, 2
1752, 3
1761, 2
1770, 2
1778, 2
1789, 1
1798, 1
1807, 2
1816, 2
1825, 2
1834, 1
1843, 2
1852, 1
1862, 3
1870, 1
1880, 2
1888, 1
1898, 2
1906, 1
1916, 2
1924, 2
1934, 1
1942, 2
1952, 3
1960, 1
1970, 2
1980, 2
1988, 2
1998, 2
2007, 2
2016, 2
2025, 2
2034, 2
2043, 2
2052, 2
2061, 2
2070, 3
2079, 2
2088, 2
2097, 2
2106, 2
2116, 2
2125, 3
2133, 2
2142, 2
2152, 1
2160, 2
2170, 2
2178, 1
2188, 2
2197, 2
2206, 2
2216, 2
2224, 2
2233, 2
2242, 2
2251, 2
2260, 1
2270, 1
2278, 1
2288, 2
2297, 1
2306, 2
2315, 2
2324, 2
2333, 2
2342, 2
2352, 2
2360, 1
2370, 2
2378, 1
2388, 1
2397, 2
2406, 2
2415, 2
2424, 2
2433, 3
2442, 2
2452, 3
2461, 2
2470, 3
2479, 2
2488, 2
2497, 2
2508, 1
2518, 2
2527, 2
2537, 2
2546, 2
2555, 2
2564, 1
2573, 2
2582, 2
2591, 1
2600, 1
2609, 1
2618, 2
2627, 2
2636, 1
2646, 1
2654, 2
2664, 2
2673, 2
2682, 2
2691, 2
2700, 2
2709, 1
2718, 2
2727, 2
2736, 1
2745, 2
2754, 2
2764, 2
2772, 2
2782, 2
2790, 2
2800, 2
2809, 3
2818, 2
2827, 2
2836, 2
2845, 2
2854, 2
2863, 2
2872, 2
2881, 2
2890, 2
2899, 2
2908, 2
2918, 2
2927, 2
2936, 2
2945, 2
2954, 2
2964, 2
2972, 2
2982, 2
2990, 1
3000, 1
3008, 2
3018, 2
3027, 2
3036, 2
3045, 2
3054, 2
3064, 2
3072, 2
3082, 2
3091, 2
3102, 2
3112, 2
3122, 2
3133, 2
3142, 3
3152, 3
3160, 3
3170, 2
3179, 3
3188, 2
3197, 2
3206, 3
3215, 2
3224, 2
3234, 2
3242, 2
3252, 2
3261, 2
3270, 2
3279, 2
3288, 2
3297, 2
3306, 2
3315, 2
3324, 2
3334, 2
3343, 1
3352, 2
3360, 2
3370, 2
3379, 2
3388, 2
3397, 2
3406, 2
3416, 1
3425, 2
3434, 2
3443, 2
3452, 2
3461, 1
3470, 2
3479, 2
3489, 2
3498, 2
3507, 3
3516, 3
3525, 3
3534, 3
3544, 2
3552, 3
3562, 3
3571, 2
3580, 2
3590, 2
3597, 2
3601, 2
3601, 2
